F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.6000145,0.0,0.0,0.0,-100.0,0.16141431,0.9724892,0.0056668273,0.26250002,0.09751149,0.199426,0.31062046,0.4211813,0.5243252,0.61663306,0.697463,0.76792175,0.8299124,0.8854844,0.93648314,0.9844052,1.0303695,1.0751437,1.1191928,1.1627283,1.205754,1.2480965,1.2894169,1.3291929,1.3666509,1.4006265,1.4293216,1.4499421,1.4582938,1.4486226,0.0007621792,0.00025544362,625.0,697.9167,802.0833,1270.8334,0.010551394,858.44916,4.3437185,306258.4,3.4695253,16.754211,-0.00028478875,0.7886551,0.0006989562,0.57180166,-18.727608,-29.598091,-18.531921,7.2892737,19.147331,4.0755563,-8.739809,-6.0929337,1.4356548,18.095135,-6.2442956,-2.0822785,5.025337
0.0,0.61001205,0.0,0.0,0.0,-100.0,0.16366746,0.9724892,0.005580472,0.27222222,0.09751149,0.199426,0.31062046,0.4211813,0.5243252,0.61663306,0.697463,0.76792175,0.8299124,0.8854844,0.93648314,0.9844052,1.0303695,1.0751437,1.1191928,1.1627283,1.205754,1.2480965,1.2894169,1.3291929,1.3666509,1.4006265,1.4293216,1.4499421,1.4582938,1.4486226,0.000645174,0.00029386673,625.0,708.3333,833.3333,1541.6666,0.017494654,907.1355,4.6231194,420234.78,2.9616182,12.531543,-0.00023499771,0.80896336,0.000607235,0.5492799,-16.139124,-29.08555,-15.552119,3.8817747,15.341675,2.4171526,-7.5650597,-5.724813,3.2279303,15.333393,-2.9730542,1.7168216,5.3238864
0.0,0.6113556,0.0,0.0,0.0,-100.0,0.16623169,0.9724892,0.005654987,0.27986112,0.09751149,0.199426,0.31062046,0.4211813,0.5243252,0.61663306,0.697463,0.76792175,0.8299124,0.8854844,0.93648314,0.9844052,1.0303695,1.0751437,1.1191928,1.1627283,1.205754,1.2480965,1.2894169,1.3291929,1.3666509,1.4006265,1.4293216,1.4499421,1.4582938,1.4486226,0.00054618344,0.0003196329,625.0,718.75,885.4167,2052.0833,0.023634674,975.64453,4.8639965,575135.56,2.4198675,7.9467025,-0.00019237147,0.8403023,0.0005105179,-0.5632212,-13.536788,-32.772366,-14.4156275,2.9748297,12.255744,-1.5016737,-6.9029517,-2.171216,5.8204017,8.746005,-1.329003,4.441706,7.5670943
0.0,0.613045,0.0,0.0,0.0,-100.0,0.18048078,0.9724892,0.0058966526,0.28680554,0.09751149,0.199426,0.31062046,0.4211813,0.5243252,0.61663306,0.697463,0.76792175,0.8299124,0.8854844,0.93648314,0.9844052,1.0303695,1.0751437,1.1191928,1.1627283,1.205754,1.2480965,1.2894169,1.3291929,1.3666509,1.4006265,1.4293216,1.4499421,1.4582938,1.4486226,0.0006919834,0.00045555332,625.0,687.5,895.8333,2343.75,0.019786581,1002.09235,4.773451,620565.3,2.285168,7.208652,-0.0002369022,0.8515864,0.0006149486,-2.0225322,-14.243566,-33.216835,-13.385228,5.3058105,11.144188,0.4377265,-8.858381,-5.5836806,2.018902,5.3550735,-1.4027675,10.953179,3.9621887
0.0,0.62419397,0.0,0.0,0.0,-100.0,0.18301038,0.98935366,0.0060391915,0.2923611,0.09404844,0.20465793,0.31884468,0.4268817,0.51758236,0.59738684,0.6862499,0.76698,0.8521235,0.880112,0.93178993,1.0033122,1.0569786,1.0955616,1.1358348,1.1823164,1.2757889,1.2563254,1.2650586,1.3839792,1.4139403,1.4136232,1.5027776,1.5302247,1.4417806,1.489035,0.0006033453,0.00051848544,635.4167,697.9167,1062.5,2781.25,0.020017028,1084.3447,4.803781,711256.7,1.9658184,5.6907806,-0.00021651846,0.8948321,0.0006680248,-3.8026836,-14.511188,-31.712198,-12.160279,6.8071275,11.59916,1.6366562,-13.210551,-5.8192744,-0.26950803,0.5717859,-5.5245795,10.025497,3.1403515
0.0,0.6457221,0.0,0.0,0.0,-100.0,0.18511002,1.0142251,0.0060760262,0.30625,0.09337177,0.22500925,0.33687735,0.42660365,0.50363463,0.56728774,0.6544662,0.7430902,0.8573455,0.8519759,0.913783,1.0380108,1.0612677,1.1119646,1.1533399,1.217772,1.3969904,1.2781991,1.275792,1.4624745,1.4838916,1.457458,1.6104695,1.6751531,1.4333957,1.5402288,0.00048107372,0.0006040654,645.8333,770.8333,1541.6666,3020.8333,0.020334603,1231.052,5.0470204,876719.2,1.453833,3.881005,-0.00016853721,0.9623728,0.00066760153,-3.9446192,-11.444364,-24.010675,-8.12437,8.334679,12.946479,3.2733223,-13.899788,-4.8659835,-0.84372896,2.4372349,-6.4352393,10.731403,0.9953842
0.0,0.6523636,0.0,0.0,0.0,-100.0,0.19420226,1.0551902,0.0066379444,0.3166667,0.09820577,0.2584517,0.3745508,0.45620227,0.5154371,0.54447293,0.6222035,0.71244186,0.87388754,0.8314727,0.88841295,1.0873348,1.0749613,1.1165719,1.1454664,1.2644371,1.6036357,1.3545684,1.3462645,1.5519772,1.5968031,1.5506711,1.715497,1.8351916,1.463944,1.5518836,0.0006182575,0.00064625306,645.8333,770.8333,1531.25,2656.25,0.028473148,1177.1514,4.913125,795675.0,1.6575942,4.9794726,-0.00026783987,0.93542296,0.0010220635,-2.08472,-9.258445,-23.563868,-13.033856,7.9335747,11.404849,-5.168357,-20.451403,-1.904044,-1.6909345,-0.94907856,-0.21089108,13.885791,0.7520499
0.0,0.642003,0.0,0.0,0.0,-100.0,0.20463431,1.0886468,0.0074412837,0.32500002,0.10832531,0.28020367,0.4158335,0.51129675,0.5572467,0.5596645,0.5910526,0.6812582,0.88766813,0.8408374,0.8951244,1.1467437,1.0648293,1.0827574,1.0965611,1.2941644,1.7456852,1.4948363,1.5096742,1.5551163,1.6707054,1.7143068,1.7102865,1.8569094,1.528491,1.5052365,0.00069272966,0.0006882353,645.8333,770.8333,1385.4166,2250.0,0.031182827,1107.5045,4.709778,657823.1,1.9706749,6.5806313,-0.00035936487,0.90698797,0.0012951801,-1.9217844,-10.734033,-22.856285,-14.5161085,11.570369,13.860397,-9.858678,-22.567793,-0.47702536,2.1702917,0.4205397,4.8208356,14.443206,1.7682076
0.0,0.6106104,0.0,0.0,0.0,-100.0,0.21462648,1.1281968,0.0076147728,0.33541664,0.115311205,0.2791658,0.4504492,0.58576536,0.64931726,0.61578554,0.5801905,0.69195324,0.93003446,0.87896395,0.95034546,1.2035737,1.0941838,1.0792571,1.056728,1.3312377,1.7679778,1.6825471,1.6765696,1.5399092,1.7633348,1.913577,1.6625366,1.795456,1.604906,1.4340411,0.0009006518,0.0007543741,625.0,739.5833,1041.6666,2197.9167,0.036527637,1013.82745,4.6881847,557292.56,2.1222038,7.0033593,-0.00040366207,0.86003464,0.0014095904,-1.6347556,-12.607549,-24.68103,-18.35652,7.8359923,5.780603,-11.610054,-23.333567,-3.6294167,1.1685281,2.1246784,6.451349,13.655586,3.3148344
0.0,0.5963934,0.0,0.0,0.0,-100.0,0.20352904,1.152264,0.0068501183,0.35,0.10998925,0.25870717,0.46593603,0.65817046,0.75885206,0.69862276,0.5903371,0.7138495,0.9243087,0.88100386,1.0143486,1.2266955,1.125048,1.1258866,1.0501791,1.3615437,1.6410565,1.7816259,1.7712151,1.5398064,1.8034967,2.090648,1.6526912,1.7108039,1.6173407,1.3867025,0.0008331885,0.0006942314,531.25,739.5833,1291.6666,2614.5833,0.030430242,1080.8818,5.037452,744443.75,1.6769966,5.142785,-0.0002753254,0.874355,0.0010405448,-1.8255173,-10.308463,-23.05493,-18.103436,3.0861623,-5.6967454,-12.265365,-19.361664,-3.6227646,1.2075063,4.6629467,1.8935924,7.144375,6.890732
